						y744n40	y744n98	y744n41	y744n101	y744n88	y744n102	y744n89	y744n32	y744n90	y744n51	y744n96	y744n73	y744n97	y744n52	y744n100	y744n94	y744n103	y744n72
YGL157W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.272	1.449	1.457	1.932	1.277	1.287	0.812	0.949	0.676	0.716	0.767	0.871	0.779	1.057	0.87	0.681	0.836	0.651
YGL159W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.915	0.729	0.577	0.801	0.685	1.059	0.666	0.911	0.74	0.79	0.765	1.015	0.815	1.306	1.002	0.738	0.913	0.823
YGL160W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.708	0.736	0.755	0.843	0.712	Null	0.708	0.914	0.7	1.405	0.685	0.913	0.779	1.343	0.803	0.691	1.056	0.748
YGL161C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.943	0.853	0.807	0.983	0.751	0.83	0.674	0.89	0.729	0.778	0.813	0.899	0.791	1.187	0.915	0.715	0.854	0.708
YGL162W	SUT1	transport_	molecular_function_unknown_	G2/M	None	1.404	0.769	0.416	0.688	0.548	0.869	0.645	0.795	0.64	1.308	0.605	0.815	0.66	Null	Null	0.59	1.035	0.831
YGL163C	RAD54	DNA_repair_	molecular_function_unknown_	G1	G1	0.736	0.439	0.797	1.132	0.824	0.809	0.659	0.707	0.603	0.54	0.805	1.069	0.799	1.46	0.966	0.855	0.615	0.573
YGL164C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.883	0.661	0.576	0.653	0.659	0.626	0.661	0.626	Null	0.814	0.589	0.963	0.69	0.936	0.648	0.47	0.764	0.582
YGL165C	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.204	0.716	0.765	0.808	0.96	0.953	0.887	0.921	0.825	0.887	0.777	1.005	1.202	1.52	0.88	0.673	1.35	0.686
YGL166W	CUP2	transcription_	molecular_function_unknown_	None	None	1.05	0.678	0.722	0.621	0.763	0.73	0.825	0.667	Null	0.96	0.67	0.952	0.792	1.171	0.764	0.54	0.871	0.762
YGL167C	PMR1	transport_	molecular_function_unknown_	None	None	1.104	0.636	0.868	0.86	1.07	0.862	1.052	0.814	0.777	1.046	0.848	1.21	0.857	1.657	1.043	0.764	1.13	0.824
YGL168W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.176	0.726	1.106	1.253	1.189	0.937	0.994	0.829	Null	1.061	0.802	1.36	0.905	1.721	0.899	0.688	1.295	0.874
YGL169W	SUA5	biological_process_unknown_	molecular_function_unknown_	None	None	1.116	0.514	0.583	0.719	0.838	0.881	1.032	0.994	0.77	0.972	0.673	0.971	0.842	1.612	0.913	0.669	1.396	0.821
YGL171W	ROK1	mRNA_splicing*_	ATP_dependent_RNA_helicase_	None	None	0.926	0.255	0.319	0.533	0.632	0.684	0.843	0.873	0.697	0.859	0.633	0.886	0.784	1.252	0.656	0.592	0.968	0.708
YGL172W	NUP49	mRNA-nucleus_export*_	structural_protein_	None	None	0.755	0.553	0.594	0.656	0.682	0.727	0.847	0.756	Null	0.912	0.591	0.974	0.764	1.13	0.793	0.674	0.822	0.665
YGL173C	KEM1	35S_primary_transcript_processing*_	5'-3'_exoribonuclease_	None	None	0.745	0.419	0.616	0.721	0.745	0.718	0.75	0.827	0.673	0.789	0.72	1.085	0.705	1.29	1.001	0.677	0.97	0.66
YGL174W	BUD13	biological_process_unknown_	molecular_function_unknown_	None	None	0.875	0.554	0.83	1.024	0.855	0.791	0.827	0.758	0.632	0.968	0.633	1.013	0.773	1.296	0.846	0.601	1.006	0.795
YGL176C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.573	Null	0.475	0.697	0.549	0.881	0.603	0.694	0.528	1.015	0.612	0.792	0.734	1.448	0.492	0.64	0.737	0.6
YGL177W	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.184	0.793	0.681	0.868	0.673	0.964	0.595	1.064	0.66	0.817	0.783	0.868	0.655	1.301	0.867	0.748	0.89	Null
YGL179C	TOS3	biological_process_unknown_	molecular_function_unknown_	None	None	0.965	Null	0.75	0.875	0.885	0.948	0.761	Null	0.65	0.76	0.857	1.101	0.958	1.51	1.198	0.833	0.807	Null
YGL180W	APG1	autophagy_	protein_serine/threonine_kinase_	None	None	0.723	Null	0.558	0.671	0.773	0.795	0.974	0.789	0.589	1.304	0.775	0.971	0.653	Null	0.711	0.763	0.66	0.723
YGL181W	GTS1	cell_cycle_control*_	specific_RNA_polymerase_II_transcription_factor_	None	None	0.948	0.731	0.731	0.857	0.725	0.993	0.811	1.031	0.81	0.969	0.886	1.043	0.779	1.463	1.083	1.006	0.919	0.83
YGL185C	None	biological_process_unknown_	molecular_function_unknown_	G1	None	0.918	0.645	0.651	0.873	0.768	0.818	0.562	0.86	0.654	0.722	0.793	1.174	0.797	1.148	0.841	0.785	0.825	Null
YGL186C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.816	0.767	0.724	0.689	0.568	Null	0.724	0.886	0.653	1.217	0.654	0.977	0.698	1.345	0.657	0.722	0.97	0.769
YGL187C	COX4	biological_process_unknown_	cytochrome-c_oxidase_	None	None	0.969	0.785	0.915	0.914	0.7	0.888	0.471	0.801	0.623	0.628	0.735	0.932	0.735	1.147	0.769	0.741	0.836	0.616
YGL188C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.71	0.69	0.686	0.629	0.472	0.529	0.55	0.44	0.399	0.655	0.419	0.641	0.613	0.793	0.549	0.396	0.693	0.45
YGL189C	RPS26A	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	1.152	0.661	0.687	0.73	0.745	0.691	0.883	0.835	0.932	1.137	0.909	0.927	0.906	1.477	1.406	0.778	1.381	0.735
YGL190C	CDC55	protein_biosynthesis*_	protein_phosphatase_type_2A_	None	G2/M	0.854	0.68	0.602	0.722	0.703	0.81	0.753	0.766	0.587	0.962	0.588	0.951	0.807	1.189	0.702	0.656	1.168	0.719
YGL191W	COX13	biological_process_unknown_	cytochrome-c_oxidase_	None	None	0.892	0.629	0.689	0.783	0.87	0.769	0.886	0.772	0.729	0.842	0.764	0.893	0.871	1.263	1.084	0.59	1.223	0.606
YGL192W	IME4	meiosis_	transcription_factor_	None	None	2.926	0.4	0.391	0.44	0.579	0.66	0.723	0.459	0.478	Null	0.458	0.717	0.688	0.872	0.667	0.51	Null	0.53
YGL193C	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.721	0.49	0.556	0.555	0.778	0.793	0.811	0.757	0.593	0.86	0.517	0.805	0.71	1.532	0.791	0.587	1.144	0.511
YGL194C	HOS2	chromatin_architecture*_	histone_deacetylase_	None	None	0.757	0.474	0.39	Null	0.478	Null	0.597	0.759	0.386	0.755	0.366	0.854	0.556	Null	0.45	0.616	1.053	0.583
YGL195W	GCN1	biological_process_unknown_	molecular_function_unknown_	G1	None	1.059	0.5	0.617	0.499	0.788	0.769	0.681	0.65	0.592	0.958	0.748	1.011	0.651	1.255	1.059	0.696	0.95	0.568
YGL196W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.988	0.767	0.724	Null	0.831	0.832	0.82	0.841	0.603	0.9	0.613	0.978	0.786	1.211	0.806	0.571	1.18	0.597
YGL197W	MDS3	meiosis_	molecular_function_unknown_	None	None	0.712	0.398	0.495	0.566	0.784	0.748	0.874	0.744	0.635	0.869	0.701	0.838	0.735	1.209	1.107	0.762	1.101	0.615
YGL198W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.674	0.469	0.725	0.711	0.72	0.634	0.697	0.534	0.497	0.647	0.515	0.853	0.725	0.98	0.675	0.435	0.81	0.572
YGL199C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.728	0.517	0.745	0.595	0.908	0.577	0.714	0.562	0.517	0.646	0.559	0.72	0.72	1.074	0.749	0.52	0.961	0.454
YGL200C	EMP24	vesicle_organization_and_biogenesis_	molecular_function_unknown_	G1	None	0.544	0.599	0.658	1.013	0.975	1.258	0.961	0.833	0.622	1.097	0.655	0.978	0.966	1.555	1.018	0.669	0.92	0.717
YGL201C	MCM6	DNA_replication_initiation*_	chromatin_binding*_	G2/M	None	0.742	0.623	0.739	0.834	0.634	0.808	0.517	0.838	0.945	1.043	1.454	1.296	0.734	1.293	0.938	0.884	0.84	0.916
YGL202W	ARO8	biological_process_unknown_	molecular_function_unknown_	None	None	0.945	0.834	0.749	0.964	0.766	1.099	0.778	0.902	0.797	1.443	0.872	1.135	0.927	1.464	1.005	0.805	0.941	1.026
YGL203C	KEX1	biological_process_unknown_	carboxypeptidase_D_	None	None	0.827	0.618	0.586	0.696	0.732	0.947	0.735	1.011	0.822	0.716	0.752	0.979	0.667	1.163	0.837	0.947	0.89	0.729
YGL204C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.962	0.756	0.75	1.077	0.787	1.175	0.776	0.944	0.697	1.298	0.72	0.965	0.78	1.367	0.757	0.666	0.877	0.857
YGL206C	CHC1	biological_process_unknown_	molecular_function_unknown_	None	None	0.77	0.804	Null	0.596	0.687	0.741	0.565	0.643	0.721	1.191	0.879	1.053	0.753	1.242	0.869	0.914	0.638	Null
YGL207W	SPT16	chromatin_modeling*_	molecular_function_unknown_	G1	None	0.616	0.497	0.664	0.971	0.923	0.931	0.523	0.704	0.634	0.761	1.075	1.389	0.878	1.41	1.016	0.836	0.633	0.655
YGL208W	SIP2	transcription_	molecular_function_unknown_	None	None	0.642	0.689	0.628	0.732	0.625	0.863	0.588	0.787	0.62	1.296	0.582	1.069	0.735	1.264	Null	0.668	0.932	0.704
YGL209W	MIG2	transcription_regulation_from_Pol_II_promoter*_	DNA_binding*_	G2/M	None	0.833	0.452	0.631	0.713	0.764	0.817	0.769	0.777	0.617	0.852	0.615	0.866	0.687	1.029	0.905	0.598	1.069	0.688
YGL210W	YPT32	biological_process_unknown_	molecular_function_unknown_	None	None	0.585	0.626	0.557	0.932	0.716	1.014	0.607	0.823	0.648	1.272	0.631	1.114	0.8	1.278	0.645	0.729	0.93	0.725
YGL211W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.661	0.415	0.483	0.683	0.703	0.887	0.543	0.933	0.664	0.756	0.719	1.009	0.756	1.196	0.751	0.832	0.865	0.622
YGL212W	VAM7	non-selective_vesicle_fusion*_	v-SNARE_	S/G2	None	0.662	0.349	0.443	0.611	0.629	0.711	0.768	0.713	0.528	Null	0.42	0.772	0.707	0.968	0.7	0.557	0.998	0.587
YGL213C	SKI8	mRNA_catabolism_	molecular_function_unknown_	None	None	0.913	0.655	0.59	0.799	0.837	0.797	0.756	0.898	0.678	0.875	0.696	0.907	0.865	1.367	0.845	0.63	1.152	0.638
YGL214W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.797	0.49	0.535	0.64	0.644	0.677	0.748	0.633	0.586	0.848	0.527	0.895	0.825	1.023	0.75	0.582	0.928	0.62
YGL215W	CLG1	cell_cycle_	molecular_function_unknown_	None	None	1.012	0.501	0.609	0.612	0.918	0.66	0.94	0.645	0.727	1	0.807	0.826	0.852	1.084	1.092	0.637	1.203	0.566
YGL216W	KIP3	nuclear_migration_(sensu_Saccharomyces)*_	microtubule_motor_	S/G2	None	0.604	0.319	0.375	0.585	0.876	0.784	0.999	0.731	0.607	0.823	0.406	0.82	0.816	1.476	0.916	0.738	1.033	0.665
YGL217C	None	biological_process_unknown_	molecular_function_unknown_	None	None	Null	Null	0.582	0.59	0.905	0.896	0.942	0.948	0.662	0.817	0.503	0.866	0.781	1.642	1.1	0.782	1.172	0.632
YGL218W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.813	0.6	0.658	0.772	0.767	0.716	0.798	0.827	0.614	0.911	0.607	0.944	0.82	1.129	0.762	0.629	1.139	0.691
YGL219C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.851	0.544	0.656	0.57	0.766	0.668	0.87	0.678	0.675	0.824	0.723	0.833	0.985	1.103	0.892	0.609	1.09	0.616
YGL220W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.835	0.538	0.63	0.804	0.797	0.694	0.871	0.743	0.687	0.896	0.648	0.872	0.791	1.05	0.87	0.539	1.255	0.68
YGL221C	NIF3	biological_process_unknown_	molecular_function_unknown_	None	None	0.985	0.662	0.745	0.837	0.943	1.065	0.878	0.881	0.743	0.948	0.743	0.957	0.752	1.291	0.961	0.664	1.233	0.639
YGL222C	EDC1	mRNA_processing_	molecular_function_unknown_	None	None	0.528	0.417	0.358	0.578	0.406	0.6	0.528	0.535	0.348	Null	0.3	0.813	0.591	0.961	0.563	0.512	0.73	0.564
YGL223C	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.147	0.635	0.62	0.637	0.794	0.824	0.725	0.699	0.574	0.794	0.608	0.815	0.654	1.134	0.737	0.529	0.958	0.585
YGL224C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.463	0.615	0.554	0.964	0.736	Null	0.777	0.959	0.626	1.056	0.587	0.837	0.803	1.127	0.661	0.627	0.913	0.64
YGL225W	GOG5	protein_glycosylation_	molecular_function_unknown_	S	G1	0.377	0.317	0.557	0.837	1.147	1.051	0.768	0.931	0.707	0.68	0.723	0.972	0.962	1.576	1.17	0.901	0.837	0.526
YGL226W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.646	0.709	Null	0.763	0.594	0.962	0.606	0.753	0.512	0.993	0.737	0.843	0.748	1.148	Null	0.702	0.677	0.686
YGL227W	VID30	biological_process_unknown_	molecular_function_unknown_	None	None	0.675	0.58	0.725	0.753	0.807	0.695	0.51	0.708	0.588	0.797	0.995	0.988	0.728	1.32	1.008	0.838	0.75	Null
YGL228W	SHE10	biological_process_unknown_	molecular_function_unknown_	None	None	0.803	0.667	0.645	0.837	0.639	1.001	0.746	0.933	0.664	1.192	0.684	1.121	0.804	1.269	0.783	0.793	1.015	0.861
YGL229C	SAP4	G1/S_transition_of_mitotic_cell_cycle_	protein_serine/threonine_phosphatase_	None	None	0.536	0.587	0.694	0.698	0.666	0.652	0.446	0.608	0.557	0.993	1.014	0.929	0.737	1.154	0.917	0.786	0.807	Null
YGL231C	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.041	0.7	0.81	0.768	0.757	0.974	0.701	1.167	0.881	0.866	0.743	1.025	0.788	1.302	0.939	0.771	0.873	0.602
YGL232W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.674	0.564	0.464	0.766	0.498	0.944	0.604	0.872	0.706	1.118	0.626	0.942	0.74	1.149	0.755	0.684	0.947	0.764
YGL233W	SEC15	establishment_of_cell_polarity_(sensu_Saccharomyces)*_	vesicle_targeting_	None	None	0.7	0.489	0.69	0.657	0.899	0.764	0.576	0.782	0.806	0.892	0.591	1.069	0.801	1.374	1.18	0.978	0.676	0.793
YGL234W	"ADE5,7"	biological_process_unknown_	phosphoribosylformylglycinamidine_cyclo-ligase_	None	None	0.679	0.781	0.654	0.697	0.638	0.728	0.757	0.868	1.031	1.373	0.991	1.054	0.807	1.378	0.989	0.895	1	0.969
YGL235W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.798	0.576	0.73	0.872	0.969	0.957	0.757	1.194	0.896	1.031	Null	1.196	0.857	1.566	0.813	0.952	0.868	Null
YGL236C	MTO1	protein_biosynthesis_	molecular_function_unknown_	None	None	0.701	0.342	0.593	0.824	0.778	0.697	0.774	0.619	0.618	0.753	0.537	0.986	0.726	1.076	0.655	0.683	0.683	0.675
YGL237C	HAP2	biological_process_unknown_	molecular_function_unknown_	None	None	0.913	0.494	0.513	0.659	0.932	1.057	0.737	0.821	0.588	0.885	0.774	0.857	0.741	1.596	1.023	0.743	1.209	0.689
YGL238W	CSE1	biological_process_unknown_	molecular_function_unknown_	None	None	0.793	0.41	0.526	0.587	0.825	0.681	0.856	0.719	0.69	0.978	0.657	0.946	0.798	1.163	0.802	0.695	0.979	0.799
YGL239C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.82	0.514	0.577	0.708	0.924	0.439	0.76	1.036	0.685	1.034	0.794	0.885	0.636	1.406	0.965	0.772	1.074	0.748
YGL240W	DOC1	ubiquitin-dependent_protein_degradation*_	enzyme_activator_	None	None	0.736	0.43	0.614	0.726	0.783	0.606	0.752	0.677	0.632	0.829	0.593	0.888	0.819	1.045	0.689	0.595	0.894	0.617
YGL241W	KAP114	biological_process_unknown_	molecular_function_unknown_	None	None	0.842	0.516	0.833	0.902	1.052	1.306	0.786	0.706	0.637	0.896	0.833	1.094	0.74	Null	0.93	0.757	1.086	Null
YGL242C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.974	0.757	0.828	1.14	1.054	1.124	0.819	0.851	0.63	0.879	0.644	1.01	0.89	1.085	0.741	0.539	1.183	0.653
YGL243W	TAD1	tRNA_processing_	molecular_function_unknown_	None	None	0.888	0.508	0.703	0.761	1.065	1.049	0.829	0.771	0.704	0.844	0.758	0.857	0.777	1.37	0.903	0.655	1.123	Null
YGL244W	RTF1	transcription_	molecular_function_unknown_	None	None	0.686	0.471	0.472	0.669	0.645	0.659	0.786	0.791	0.636	1.002	0.583	0.983	0.701	1.223	0.741	0.685	1.207	0.831
YGL245W	None	biological_process_unknown_	glutamate--tRNA_ligase_	None	None	0.914	0.531	0.781	0.714	0.965	0.961	0.825	0.75	0.756	0.879	1.047	1.027	0.795	1.585	1.143	0.785	1.2	0.647
YGL246C	RAI1	biological_process_unknown_	molecular_function_unknown_	None	None	0.924	0.426	0.477	0.604	0.605	0.715	0.787	0.934	0.65	0.806	0.558	0.954	0.808	0.969	0.629	0.551	1.175	0.676
YGL247W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.854	0.532	0.712	0.601	0.988	Null	0.769	0.867	0.69	0.856	Null	0.882	0.741	1.402	0.819	0.679	1.051	Null
YGL248W	PDE1	biological_process_unknown_	"3',5'-cyclic-nucleotide_phosphodiesterase_"	None	None	0.782	0.887	0.604	0.774	0.603	0.787	0.633	0.686	0.636	0.884	0.649	0.903	0.833	Null	0.797	0.697	0.756	0.671
YGL252C	RTG2	biological_process_unknown_	molecular_function_unknown_	None	None	0.618	0.662	0.735	0.817	0.649	0.982	0.562	0.803	0.781	1.236	0.834	1.107	0.699	0.964	0.715	0.716	0.994	0.746
YGL253W	HXK2	glycolysis*_	hexokinase_	None	None	1.165	1.108	0.958	1.62	1.35	1.64	0.96	1.295	0.891	1.093	0.97	1.421	1.108	1.788	1.294	1.189	1.072	0.909
YGL254W	FZF1	biological_process_unknown_	molecular_function_unknown_	None	None	0.559	0.462	Null	0.651	Null	0.899	0.58	0.63	0.64	1.038	0.604	0.972	0.647	1.06	0.568	0.639	0.928	0.652
YGL255W	ZRT1	high-affinity_zinc_ion_transport_	high_affinity_zinc_uptake_transporter_	G2/M	None	0.695	0.853	0.732	0.749	0.753	0.86	0.729	0.656	0.661	0.801	0.647	0.773	0.857	1.074	0.981	0.746	0.797	0.759
YGL256W	ADH4	biological_process_unknown_	acylglycerone-phosphate_reductase_	None	None	0.643	0.562	0.546	0.771	0.768	1.235	0.696	0.838	0.594	1.056	0.55	0.889	0.688	1.064	0.696	0.67	1.016	0.662
YGL257C	MNT2	O-linked_glycosylation_	"alpha-1,3-mannosyltransferase_"	None	None	0.686	0.637	0.311	0.531	0.55	0.794	0.684	0.594	0.729	0.875	0.775	0.724	0.837	0.792	1.014	0.796	0.723	0.697
YGL259W	YPS5	biological_process_unknown_	aspartic-type_endopeptidase_	None	None	1.082	0.939	0.941	1.101	Null	1.111	0.787	0.914	0.702	0.918	0.678	1.045	0.758	Null	0.826	0.784	0.861	0.848
YGL260W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.889	0.619	0.647	0.734	0.707	0.806	0.753	0.733	0.553	0.835	0.594	0.929	0.81	1.066	0.798	0.527	1.02	0.59
YGL261C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.792	0.536	0.835	0.672	0.986	0.842	0.721	0.635	0.578	0.772	Null	0.794	0.757	1.198	0.973	0.575	0.991	Null
YGR001C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.981	0.689	0.767	0.687	0.789	0.715	0.713	0.691	0.55	0.942	0.549	0.934	0.669	1.028	0.656	0.487	0.876	0.563
YGR002C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.831	0.501	0.632	0.956	0.704	0.636	0.803	0.711	0.659	0.864	0.601	0.869	0.773	0.952	0.814	0.594	0.906	0.709
YGR004W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.857	0.535	0.603	0.675	0.583	0.74	0.691	0.802	0.565	0.883	0.614	0.944	0.812	0.93	0.821	0.584	1.147	0.682
YGR005C	TFG2	transcription_initiation_from_Pol_II_promoter_	general_RNA_polymerase_II_transcription_factor_	None	None	0.74	0.538	0.645	0.674	Null	0.758	0.742	0.809	0.57	1.309	0.542	1.156	0.683	1.093	0.742	0.599	1.128	0.724
YGR006W	PRP18	mRNA_splicing_	molecular_function_unknown_	None	None	0.788	0.623	0.75	0.642	0.662	0.858	0.734	0.788	0.56	0.935	0.607	0.913	0.841	1.03	0.765	0.577	1.213	0.697
YGR007W	MUQ1	biological_process_unknown_	cholinephosphate_cytidylyltransferase_	None	None	0.797	0.771	0.746	0.742	0.672	0.781	0.885	0.791	0.635	1.065	0.558	1.032	0.684	1.209	0.892	0.67	1.145	0.687
YGR008C	STF2	ATP_synthesis_coupled_proton_transport_	molecular_function_unknown_	None	None	1.408	1.751	1.539	1.279	0.866	0.846	0.855	0.715	0.558	0.886	0.612	1.011	0.849	0.944	0.942	0.612	1.174	0.62
YGR009C	SEC9	non-selective_vesicle_fusion*_	v-SNARE_	None	None	0.459	0.469	0.423	0.609	0.532	0.94	0.505	0.705	0.595	1.046	0.691	1.014	0.578	1.124	0.669	0.838	0.905	0.736
YGR010W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.729	0.656	0.603	0.779	0.722	0.965	0.714	0.848	0.68	0.99	0.738	1.01	0.83	1.295	Null	0.788	0.949	0.789
YGR011W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.582	0.6	0.642	0.756	0.695	1.014	0.721	0.846	0.655	1.046	0.624	1.096	Null	1.18	0.647	0.683	0.974	0.719
YGR012W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.565	0.902	0.602	0.831	0.684	0.913	0.74	0.756	0.621	0.903	0.736	1.114	0.81	1.25	0.876	0.756	0.805	0.503
YGR013W	SNU71	mRNA_splicing_	molecular_function_unknown_	None	None	0.829	0.695	0.764	0.804	0.653	0.939	0.717	0.812	0.712	1.059	0.659	0.946	0.746	1.089	0.715	0.649	Null	0.71
YGR014W	MSB2	establishment_of_cell_polarity_(sensu_Saccharomyces)_	molecular_function_unknown_	G1	None	0.532	0.347	0.764	0.95	0.869	0.887	0.795	0.589	0.518	0.637	0.651	1.459	1.487	2.459	1.404	1.21	0.833	0.749
YGR015C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.471	0.455	0.623	0.742	0.554	0.932	0.549	0.669	0.47	Null	0.511	1.018	Null	1.349	0.76	0.652	0.748	0.66
YGR017W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.862	Null	0.515	Null	0.534	0.784	0.785	0.823	0.617	0.735	0.526	0.907	0.743	1.023	0.755	0.567	1.007	0.67
YGR018C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.745	Null	0.557	0.638	0.573	0.926	0.711	0.916	0.656	0.837	0.754	0.942	0.805	1.082	0.791	0.776	0.773	0.653
YGR019W	UGA1	biological_process_unknown_	4-aminobutyrate_aminotransferase_	None	None	0.56	0.758	0.834	1.172	0.827	1.288	0.934	0.951	0.714	1.065	0.689	0.932	0.744	1.083	0.738	0.691	0.836	0.66
YGR020C	VMA7	vacuolar_acidification_	hydrogen-transporting_two-sector_ATPase_	None	None	0.888	0.248	0.595	0.686	0.583	0.818	0.6	0.753	0.628	0.708	0.761	0.853	0.795	1.184	0.837	0.693	0.803	0.632
YGR022C	None	biological_process_unknown_	molecular_function_unknown_	None	None	1.102	0.705	0.655	Null	0.778	0.868	0.897	0.813	0.609	Null	0.523	0.938	0.761	1.313	0.767	0.593	1.297	0.714
YGR023W	MTL1	biological_process_unknown_	molecular_function_unknown_	None	None	1.103	0.767	0.667	0.716	0.773	0.808	0.861	0.71	0.625	1.129	0.591	1.002	0.638	1.286	0.805	0.669	1.1	0.779
YGR024C	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.997	0.737	0.593	0.666	0.697	0.75	0.713	0.791	0.634	0.814	0.537	0.842	0.828	0.995	0.862	0.564	1.365	0.661
YGR025W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.791	0.597	0.672	0.806	0.77	0.819	0.761	0.761	0.531	1.007	0.495	1.043	0.693	1.194	0.719	0.628	0.807	0.756
YGR026W	None	biological_process_unknown_	molecular_function_unknown_	None	None	0.704	0.545	0.639	0.828	0.918	0.882	0.852	0.716	0.594	0.802	0.541	0.791	0.843	1.167	1.023	0.629	1.326	0.667
YGR027C	RPS25A	protein_biosynthesis_	structural_protein_of_ribosome_	None	None	0.97	0.722	0.648	0.782	0.677	0.761	0.839	0.71	0.692	1.188	0.723	1.11	0.85	1.249	1.033	0.685	1.187	0.873
YGR028W	MSP1	mitochondrial_translocation_	adenosinetriphosphatase_	None	None	0.985	0.726	0.773	0.984	0.812	Null	0.831	0.772	0.635	0.857	0.591	0.851	0.785	0.914	0.759	0.565	1.154	0.634
YGR029W	ERV1	biological_process_unknown_	molecular_function_unknown_	None	None	0.943	0.713	0.778	0.808	0.683	0.791	0.841	0.722	0.681	0.981	0.53	1.038	0.747	1.136	0.821	0.609	0.993	0.742
YGR030C	POP6	rRNA_processing*_	ribonuclease_MRP*_	None	None	0.844	Null	0.484	0.478	0.69	0.643	0.739	0.67	0.56	Null	0.481	0.654	0.743	1.147	0.595	0.512	1.274	0.602
